,w_index,c1_index,c2_index,ITC
0,0.0,4.0,20.0,193.81811075999997
1,0.0,0.0,0.0,195.03601029599997
2,0.0,0.0,1.0,195.262193808
3,0.0,0.0,2.0,198.79589726400002
4,0.0,0.0,3.0,194.222596746
5,0.0,0.0,4.0,195.15314767799998
6,0.0,0.0,5.0,196.78721853
7,0.0,0.0,6.0,198.00516349199995
8,0.0,0.0,7.0,198.58488196800002
9,0.0,0.0,8.0,198.773949048
10,0.0,0.0,9.0,199.12281259200006
11,0.0,0.0,10.0,197.75082806400002
12,0.0,0.0,11.0,200.18939134200002
13,0.0,0.0,12.0,198.03434054399995
14,0.0,0.0,13.0,200.62815904199996
15,0.0,0.0,14.0,199.487673546
16,0.0,0.0,15.0,202.90774759199994
17,0.0,0.0,16.0,197.304104034
18,0.0,0.0,17.0,196.934229948
19,0.0,0.0,18.0,198.42387052799998
20,0.0,0.0,19.0,198.49045758600002
21,0.0,0.0,20.0,197.23759901399998
22,0.0,0.0,21.0,198.963126642
23,0.0,0.0,22.0,196.751350974
24,0.0,0.0,23.0,200.005374006
25,0.0,0.0,24.0,196.47411338399996
26,0.0,1.0,0.0,196.71120591599995
27,0.0,1.0,1.0,192.933758748
28,0.0,1.0,2.0,195.97511148599997
29,0.0,1.0,3.0,195.169004064
30,0.0,1.0,4.0,195.655364652
31,0.0,1.0,5.0,197.013484758
32,0.0,1.0,6.0,196.49790779399999
33,0.0,1.0,7.0,198.437143734
34,0.0,1.0,8.0,197.91765267599996
35,0.0,1.0,9.0,199.92270139799996
36,0.0,1.0,10.0,198.26593381799998
37,0.0,1.0,11.0,200.6912205
38,0.0,1.0,12.0,197.704227768
39,0.0,1.0,13.0,198.601538394
40,0.0,1.0,14.0,200.82597977999998
41,0.0,1.0,15.0,197.52788810399997
42,0.0,1.0,16.0,198.76384277999998
43,0.0,1.0,17.0,198.19618727999998
44,0.0,1.0,18.0,199.934631486
45,0.0,1.0,19.0,197.156364444
46,0.0,1.0,20.0,196.649998788
47,0.0,1.0,21.0,198.57909523799998
48,0.0,1.0,22.0,196.19342070600004
49,0.0,1.0,23.0,198.171215184
50,0.0,1.0,24.0,196.08614958
51,0.0,2.0,0.0,194.108882586
52,0.0,2.0,1.0,192.633933588
53,0.0,2.0,2.0,194.04613300799997
54,0.0,2.0,3.0,193.91522476800003
55,0.0,2.0,4.0,195.59435617799997
56,0.0,2.0,5.0,195.31995195
57,0.0,2.0,6.0,197.738243028
58,0.0,2.0,7.0,196.359528672
59,0.0,2.0,8.0,196.71945853199998
60,0.0,2.0,9.0,196.80317526
61,0.0,2.0,10.0,199.81607708400003
62,0.0,2.0,11.0,196.64146819200002
63,0.0,2.0,12.0,197.03984200799997
64,0.0,2.0,13.0,200.08648517999998
65,0.0,2.0,14.0,197.862900108
66,0.0,2.0,15.0,198.81769293000002
67,0.0,2.0,16.0,199.066040262
68,0.0,2.0,17.0,198.67642417199997
69,0.0,2.0,18.0,197.915124414
70,0.0,2.0,19.0,198.93688397400004
71,0.0,2.0,20.0,196.61181043799996
72,0.0,2.0,21.0,197.96280137399998
73,0.0,2.0,22.0,196.73348160599994
74,0.0,2.0,23.0,194.23389086999998
75,0.0,2.0,24.0,195.98661850199997
76,0.0,3.0,0.0,195.341147586
77,0.0,3.0,1.0,193.118881902
78,0.0,3.0,2.0,193.99677121799996
79,0.0,3.0,3.0,194.34234510600004
80,0.0,3.0,4.0,195.35582628599997
81,0.0,3.0,5.0,194.293837596
82,0.0,3.0,6.0,195.15360668399998
83,0.0,3.0,7.0,195.44182990799996
84,0.0,3.0,8.0,196.248458712
85,0.0,3.0,9.0,197.12829999000002
86,0.0,3.0,10.0,197.01131448
87,0.0,3.0,11.0,196.62268826999997
88,0.0,3.0,12.0,197.22460988999998
89,0.0,3.0,13.0,197.707262496
90,0.0,3.0,14.0,197.85016455599998
91,0.0,3.0,15.0,197.12659210799995
92,0.0,3.0,16.0,199.34606646599997
93,0.0,3.0,17.0,197.385786084
94,0.0,3.0,18.0,196.31138321400002
95,0.0,3.0,19.0,197.662806714
96,0.0,3.0,20.0,198.427261206
97,0.0,3.0,21.0,196.09058573399994
98,0.0,3.0,22.0,195.45101206200002
99,0.0,3.0,23.0,196.37599797
100,0.0,3.0,24.0,194.06443494000004
101,0.0,4.0,0.0,197.137040088
102,0.0,4.0,1.0,188.82754395599997
103,0.0,4.0,2.0,193.78984222800003
104,0.0,4.0,3.0,195.85129309200002
105,0.0,4.0,4.0,192.524705754
106,0.0,4.0,5.0,193.16892236999996
107,0.0,4.0,6.0,195.082506858
108,0.0,4.0,7.0,195.501607134
109,0.0,4.0,8.0,194.67649944000001
110,0.0,4.0,9.0,196.703996064
111,0.0,4.0,10.0,196.92388637999997
112,0.0,4.0,11.0,198.66853428599998
113,0.0,4.0,12.0,197.31643888799996
114,0.0,4.0,13.0,197.655596862
115,0.0,4.0,14.0,197.802560142
116,0.0,4.0,15.0,195.376552746
117,0.0,4.0,16.0,196.884190836
118,0.0,4.0,17.0,195.84870109800002
119,0.0,4.0,18.0,196.919647524
120,0.0,4.0,19.0,196.47448357200003
121,0.0,4.0,21.0,194.09819527200005
122,0.0,4.0,22.0,192.69511020600004
123,0.0,4.0,23.0,194.072853666
124,0.0,4.0,24.0,194.376841746
125,0.0,5.0,0.0,197.620672404
126,0.0,5.0,1.0,190.44202332
127,0.0,5.0,2.0,192.924763722
128,0.0,5.0,3.0,192.98321139
129,0.0,5.0,4.0,193.659133998
130,0.0,5.0,5.0,194.79491620799996
131,0.0,5.0,6.0,194.40575912399996
132,0.0,5.0,7.0,197.11297041000006
133,0.0,5.0,8.0,195.306011592
134,0.0,5.0,9.0,198.97107483599996
135,0.0,5.0,10.0,196.042891824
136,0.0,5.0,11.0,197.77345563599997
137,0.0,5.0,12.0,199.62327354599998
138,0.0,5.0,13.0,201.18297051
139,0.0,5.0,14.0,200.047626288
140,0.0,5.0,15.0,196.482319896
141,0.0,5.0,16.0,197.21912487
142,0.0,5.0,17.0,199.37473230599997
143,0.0,5.0,18.0,195.59908861800002
144,0.0,5.0,19.0,194.53763622599996
145,0.0,5.0,20.0,195.290263008
146,0.0,5.0,21.0,192.37437417
147,0.0,5.0,22.0,193.74853982399998
148,0.0,5.0,23.0,192.87035761200002
149,0.0,5.0,24.0,193.37760195599995
150,0.0,6.0,0.0,197.65881397200002
151,0.0,6.0,1.0,191.15596342199999
152,0.0,6.0,2.0,190.909015482
153,0.0,6.0,3.0,192.63447531000003
154,0.0,6.0,4.0,191.82717189599995
155,0.0,6.0,5.0,193.78739939399998
156,0.0,6.0,6.0,193.729795158
157,0.0,6.0,7.0,191.44573248599997
158,0.0,6.0,8.0,196.32473778
159,0.0,6.0,9.0,193.803255102
